,Ace,2,3,4,5,6,7,8,9,10,Jack,Queen,King
20,S,S,S,S,S,S,S,S,S,S,S,S,S
19,S,S,S,S,S,S,S,S,S,S,S,S,S
18,S,S,S,S,S,S,S,S,S,S,S,S,S
17,S,S,S,S,S,S,S,S,S,S,S,S,S
16,SU,S,S,S,S,S,H,H,SU,SU,SU,SU,SU
15,H,S,S,S,S,S,H,H,H,SU,SU,SU,SU
14,H,S,S,S,S,S,H,H,H,H,H,H,H
13,H,S,S,S,S,S,H,H,H,H,H,H,H
12,H,H,H,S,S,S,H,H,H,H,H,H,H
11,H,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH,DH
10,H,DH,DH,DH,DH,DH,DH,DH,DH,H,H,H,H
9,H,H,DH,DH,DH,DH,H,H,H,H,H,H,H
8,H,H,H,H,H,H,H,H,H,H,H,H,H
7,H,H,H,H,H,H,H,H,H,H,H,H,H
6,H,H,H,H,H,H,H,H,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H,H,H,H
A;9,S,S,S,S,S,S,S,S,S,S,S,S,S
A;8,S,S,S,S,S,S,S,S,S,S,S,S,S
A;7,H,S,DS,DS,DS,DS,S,S,H,H,H,H,H
A;6,H,H,DH,DH,DH,DH,H,H,H,H,H,H,H
A;5,H,H,H,DH,DH,DH,H,H,H,H,H,H,H
A;4,H,H,H,DH,DH,DH,H,H,H,H,H,H,H
A;3,H,H,H,H,DH,DH,H,H,H,H,H,H,H
A;2,H,H,H,H,DH,DH,H,H,H,H,H,H,H
A;A,P,P,P,P,P,P,P,P,P,P,P,P,P
10;10,S,S,S,S,S,S,S,S,S,S,S,S,S
9;9,S,P,P,P,P,P,S,P,P,S,S,S,S
8;8,P,P,P,P,P,P,P,P,P,P,P,P,P
7;7,H,P,P,P,P,P,P,H,H,H,H,H,H
6;6,H,P,P,P,P,P,H,H,H,H,H,H,H
5;5,H,DH,DH,DH,DH,DH,DH,DH,DH,H,H,H,H
4;4,H,H,H,H,P,P,H,H,H,H,H,H,H
3;3,H,P,P,P,P,P,P,H,H,H,H,H,H
2;2,H,P,P,P,P,P,P,H,H,H,H,H,H